;$FILEVERSION=1.1
;$STARTTIME=44475.4114990394
;
;   C:\Users\uukucp\Desktop\log_reset_hmi\su12_resetr.trc
;
;   Start time: 06.10.2021 09:52:33.517.0
;   Generated by PCAN-View v4.2.5.569
;
;   Message Number
;   |         Time Offset (ms)
;   |         |        Type
;   |         |        |        ID (hex)
;   |         |        |        |     Data Length
;   |         |        |        |     |   Data Bytes (hex) ...
;   |         |        |        |     |   |
;---+--   ----+----  --+--  ----+---  +  -+ -- -- -- -- -- -- --
     1)         8.4  Rx         01E7  4  06 58 0C 00 
     2)        22.8  Rx         0705  0  RTR
     3)        23.0  Rx         0745  0  RTR
     4)        23.2  Rx         076C  0  RTR
     5)        23.7  Rx         0300  8  40 80 00 00 00 00 00 00 
     6)        23.9  Rx         0705  1  85 
     7)        27.4  Rx         0281  8  80 00 00 00 00 00 00 00 
     8)        32.5  Rx         076C  1  05 
     9)        52.8  Rx         0706  0  RTR
    10)        53.0  Rx         0706  1  05 
    11)        53.2  Rx         0746  0  RTR
    12)        53.4  Rx         076D  0  RTR
    13)        55.6  Rx         0260  4  04 23 3D 04 
    14)        56.2  Rx         0345  8  24 25 3D 04 00 00 00 00 
    15)        56.7  Rx         0746  1  05 
    16)        59.6  Rx         076D  1  05 
    17)        73.1  Rx         0300  8  41 80 00 00 00 00 00 00 
    18)        73.8  Rx         0282  8  81 00 00 00 00 00 00 00 
    19)        82.8  Rx         0707  0  RTR
    20)        83.0  Rx         0707  1  05 
    21)        83.2  Rx         0747  0  RTR
    22)        83.4  Rx         076E  0  RTR
    23)        85.4  Rx         0747  1  85 
    24)        92.8  Rx         076E  1  05 
    25)       112.8  Rx         0708  0  RTR
    26)       113.0  Rx         0708  1  05 
    27)       113.2  Rx         0748  0  RTR
    28)       113.4  Rx         076F  0  RTR
    29)       114.3  Rx         0748  1  85 
    30)       118.7  Rx         076F  1  05 
    31)       123.1  Rx         0300  8  42 80 00 00 00 00 00 00 
    32)       123.8  Rx         0283  8  82 00 00 00 00 00 00 00 
    33)       142.8  Rx         0709  0  RTR
    34)       143.0  Rx         0709  1  05 
    35)       143.2  Rx         0749  0  RTR
    36)       143.4  Rx         0770  0  RTR
    37)       148.0  Rx         0749  1  05 
    38)       148.5  Rx         0770  1  05 
    39)       172.8  Rx         070A  0  RTR
    40)       173.0  Rx         074A  0  RTR
    41)       173.2  Rx         070A  1  85 
    42)       173.4  Rx         0771  0  RTR
    43)       173.9  Rx         0300  8  43 80 00 00 00 00 00 00 
    44)       179.8  Rx         0284  8  83 00 00 00 00 00 00 00 
    45)       182.8  Rx         0771  1  05 
    46)       202.8  Rx         070B  0  RTR
    47)       203.0  Rx         070B  1  85 
    48)       203.2  Rx         074B  0  RTR
    49)       203.4  Rx         0772  0  RTR
    50)       206.6  Rx         0772  1  05 
    51)       206.8  Rx         074B  1  05 
    52)       223.1  Rx         0300  8  44 80 00 00 00 00 00 00 
    53)       230.9  Rx         0285  8  84 00 00 00 00 00 00 00 
    54)       232.8  Rx         070C  0  RTR
    55)       233.0  Rx         070C  1  85 
    56)       233.2  Rx         074C  0  RTR
    57)       233.4  Rx         0773  0  RTR
    58)       236.3  Rx         074C  1  05 
    59)       243.1  Rx         0773  1  05 
    60)       262.8  Rx         070D  0  RTR
    61)       263.0  Rx         070D  1  85 
    62)       263.2  Rx         074D  0  RTR
    63)       263.4  Rx         0774  0  RTR
    64)       264.3  Rx         074D  1  05 
    65)       270.4  Rx         0774  1  05 
    66)       273.1  Rx         0300  8  45 80 00 00 00 00 00 00 
    67)       276.3  Rx         0286  8  85 00 00 00 00 00 00 00 
    68)       292.8  Rx         070E  0  RTR
    69)       293.0  Rx         070E  1  05 
    70)       293.2  Rx         074E  0  RTR
    71)       294.1  Rx         074E  1  85 
    72)       322.8  Rx         070F  0  RTR
    73)       323.0  Rx         074F  0  RTR
    74)       323.2  Rx         0761  0  RTR
    75)       323.7  Rx         0300  8  46 80 00 00 00 00 00 00 
    76)       323.9  Rx         070F  1  05 
    77)       326.2  Rx         074F  1  05 
    78)       331.1  Rx         0761  1  85 
    79)       333.1  Rx         0287  8  86 00 00 00 00 00 00 00 
    80)       352.8  Rx         0710  0  RTR
    81)       353.0  Rx         0750  0  RTR
    82)       353.2  Rx         0762  0  RTR
    83)       353.6  Rx         0710  1  05 
    84)       355.2  Rx         0750  1  85 
    85)       358.2  Rx         0762  1  85 
    86)       373.1  Rx         0300  8  47 80 00 00 00 00 00 00 
    87)       381.6  Rx         0288  8  87 00 00 00 00 00 00 00 
    88)       382.8  Rx         0711  0  RTR
    89)       383.0  Rx         0711  1  05 
    90)       383.2  Rx         0751  0  RTR
    91)       383.4  Rx         0763  0  RTR
    92)       383.7  Rx         0751  1  05 
    93)       387.7  Rx         0763  1  85 
    94)       412.8  Rx         0712  0  RTR
    95)       413.0  Rx         0752  0  RTR
    96)       413.2  Rx         0764  0  RTR
    97)       413.4  Rx         0712  1  85 
    98)       417.8  Rx         0752  1  05 
    99)       418.9  Rx         0764  1  85 
   100)       423.1  Rx         0300  8  48 80 00 00 00 00 00 00 
   101)       427.2  Rx         0289  8  88 00 00 00 00 00 00 00 
   102)       442.8  Rx         0713  0  RTR
   103)       443.0  Rx         0713  1  85 
   104)       443.2  Rx         0753  0  RTR
   105)       443.4  Rx         0765  0  RTR
   106)       446.2  Rx         0753  1  05 
   107)       450.1  Rx         0765  1  85 
   108)       472.8  Rx         0714  0  RTR
   109)       473.0  Rx         0714  1  85 
   110)       473.2  Rx         0766  0  RTR
   111)       473.7  Rx         0300  8  49 80 00 00 00 00 00 00 
   112)       479.5  Rx         028A  8  89 00 00 00 00 00 00 00 
   113)       482.1  Rx         0766  1  85 
   114)       502.8  Rx         0701  0  RTR
   115)       503.0  Rx         0701  1  85 
   116)       503.2  Rx         0741  0  RTR
   117)       503.4  Rx         0767  0  RTR
   118)       505.2  Rx         0741  1  05 
   119)       508.1  Rx         0767  1  85 
   120)       523.1  Rx         0300  8  4A 80 00 00 00 00 00 00 
   121)       528.5  Rx         028B  8  8A 00 00 00 00 00 00 00 
   122)       532.8  Rx         0702  0  RTR
   123)       533.1  Rx         0702  1  05 
   124)       533.2  Rx         0742  0  RTR
   125)       533.4  Rx         0768  0  RTR
   126)       535.8  Rx         0742  1  05 
   127)       538.4  Rx         0768  1  85 
   128)       562.8  Rx         0703  0  RTR
   129)       563.0  Rx         0743  0  RTR
   130)       563.2  Rx         0769  0  RTR
   131)       563.6  Rx         0703  1  05 
   132)       565.2  Rx         0743  1  05 
   133)       567.0  Rx         0769  1  85 
   134)       573.1  Rx         0300  8  4B 80 00 00 00 00 00 00 
   135)       579.0  Rx         028C  8  8B 00 00 00 00 00 00 00 
   136)       592.8  Rx         0704  0  RTR
   137)       593.0  Rx         0704  1  05 
   138)       593.2  Rx         0744  0  RTR
   139)       593.4  Rx         076A  0  RTR
   140)       595.1  Rx         076A  1  85 
   141)       598.0  Rx         0744  1  85 
   142)       622.8  Rx         0705  0  RTR
   143)       623.0  Rx         0745  0  RTR
   144)       623.2  Rx         076B  0  RTR
   145)       623.7  Rx         0300  8  4C 80 00 00 00 00 00 00 
   146)       623.9  Rx         0705  1  05 
   147)       629.3  Rx         076B  1  85 
   148)       632.5  Rx         028D  8  8C 00 00 00 00 00 00 00 
   149)       652.8  Rx         0706  0  RTR
   150)       653.0  Rx         0706  1  85 
   151)       653.2  Rx         0746  0  RTR
   152)       653.4  Rx         076C  0  RTR
   153)       656.6  Rx         0746  1  85 
   154)       662.5  Rx         076C  1  85 
   155)       673.1  Rx         0300  8  4D 80 00 00 00 00 00 00 
   156)       681.1  Rx         028E  8  8D 00 00 00 00 00 00 00 
   157)       682.8  Rx         0707  0  RTR
   158)       683.0  Rx         0707  1  85 
   159)       683.2  Rx         0747  0  RTR
   160)       683.4  Rx         076D  0  RTR
   161)       685.3  Rx         0747  1  05 
   162)       689.5  Rx         076D  1  85 
   163)       712.8  Rx         0708  0  RTR
   164)       713.0  Rx         0708  1  85 
   165)       713.2  Rx         0748  0  RTR
   166)       713.4  Rx         076E  0  RTR
   167)       714.3  Rx         0748  1  05 
   168)       722.7  Rx         076E  1  85 
   169)       723.3  Rx         0300  8  4E 80 00 00 00 00 00 00 
   170)       730.1  Rx         028F  8  8E 00 00 00 00 00 00 00 
   171)       742.8  Rx         0709  0  RTR
   172)       743.0  Rx         0709  1  85 
   173)       743.2  Rx         0749  0  RTR
   174)       743.4  Rx         076F  0  RTR
   175)       748.0  Rx         0749  1  85 
   176)       748.7  Rx         076F  1  85 
   177)       772.8  Rx         070A  0  RTR
   178)       773.0  Rx         070A  1  05 
   179)       773.2  Rx         074A  0  RTR
   180)       773.4  Rx         0770  0  RTR
   181)       773.9  Rx         0300  8  4F 80 00 00 00 00 00 00 
   182)       777.4  Rx         074A  1  05 
   183)       778.5  Rx         0770  1  85 
   184)       779.8  Rx         0290  8  8F 00 00 00 00 00 00 00 
   185)       802.8  Rx         070B  0  RTR
   186)       803.0  Rx         070B  1  05 
   187)       803.2  Rx         074B  0  RTR
   188)       803.4  Rx         0771  0  RTR
   189)       806.8  Rx         074B  1  85 
   190)       812.8  Rx         0771  1  85 
   191)       823.1  Rx         0300  8  50 80 00 00 00 00 00 00 
   192)       829.2  Rx         0291  8  90 00 00 00 00 00 00 00 
   193)       832.8  Rx         070C  0  RTR
   194)       833.0  Rx         074C  0  RTR
   195)       833.2  Rx         070C  1  05 
   196)       833.4  Rx         0772  0  RTR
   197)       836.2  Rx         074C  1  85 
   198)       836.6  Rx         0772  1  85 
   199)       862.8  Rx         070D  0  RTR
   200)       863.1  Rx         070D  1  05 
   201)       863.2  Rx         074D  0  RTR
   202)       863.5  Rx         0773  0  RTR
   203)       864.3  Rx         074D  1  85 
   204)       873.1  Rx         0300  8  51 80 00 00 00 00 00 00 
   205)       873.4  Rx         0260  4  1F CA 01 00 
   206)       873.7  Rx         0773  1  85 
   207)       882.9  Rx         0292  8  91 00 00 00 00 00 00 00 
   208)       892.8  Rx         070E  0  RTR
   209)       893.0  Rx         070E  1  85 
   210)       893.2  Rx         074E  0  RTR
   211)       893.4  Rx         0774  0  RTR
   212)       894.1  Rx         074E  1  05 
   213)       900.4  Rx         0774  1  85 
   214)       922.8  Rx         070F  0  RTR
   215)       923.1  Rx         070F  1  85 
   216)       923.2  Rx         074F  0  RTR
   217)       923.7  Rx         0300  8  52 80 00 00 00 00 00 00 
   218)       926.2  Rx         074F  1  85 
   219)       927.8  Rx         0293  8  92 00 00 00 00 00 00 00 
   220)       952.8  Rx         0710  0  RTR
   221)       953.1  Rx         0710  1  85 
   222)       953.2  Rx         0750  0  RTR
   223)       953.4  Rx         0761  0  RTR
   224)       955.2  Rx         0750  1  05 
   225)       961.1  Rx         0761  1  05 
   226)       973.1  Rx         0300  8  53 80 00 00 00 00 00 00 
   227)       979.7  Rx         0294  8  93 00 00 00 00 00 00 00 
   228)       982.8  Rx         0711  0  RTR
   229)       983.0  Rx         0751  0  RTR
   230)       983.2  Rx         0711  1  85 
   231)       983.4  Rx         0762  0  RTR
   232)       983.6  Rx         0751  1  85 
   233)       988.2  Rx         0762  1  05 
   234)      1012.8  Rx         0712  0  RTR
   235)      1013.0  Rx         0752  0  RTR
   236)      1013.3  Rx         0712  1  05 
   237)      1013.4  Rx         0763  0  RTR
   238)      1017.7  Rx         0763  1  05 
   239)      1017.9  Rx         0752  1  85 
   240)      1023.1  Rx         0300  8  40 80 00 00 00 00 00 00 
   241)      1027.3  Rx         0281  8  80 00 00 00 00 00 00 00 
   242)      1042.8  Rx         0713  0  RTR
   243)      1043.0  Rx         0713  1  05 
   244)      1043.3  Rx         0753  0  RTR
   245)      1043.4  Rx         0764  0  RTR
   246)      1046.2  Rx         0753  1  85 
   247)      1048.9  Rx         0764  1  05 
   248)      1055.7  Rx         0260  4  0F 23 68 06 
   249)      1056.6  Rx         0350  8  2F 25 68 06 00 00 00 00 
   250)      1072.8  Rx         0714  0  RTR
   251)      1073.1  Rx         0714  1  05 
   252)      1073.2  Rx         0765  0  RTR
   253)      1073.8  Rx         0300  8  41 80 00 00 00 00 00 00 
   254)      1080.1  Rx         0765  1  05 
   255)      1083.7  Rx         0282  8  81 00 00 00 00 00 00 00 
   256)      1102.8  Rx         0701  0  RTR
   257)      1103.1  Rx         0701  1  05 
   258)      1103.2  Rx         0741  0  RTR
   259)      1103.5  Rx         0766  0  RTR
   260)      1105.2  Rx         0741  1  85 
   261)      1112.1  Rx         0766  1  05 
   262)      1123.1  Rx         0300  8  42 80 00 00 00 00 00 00 
   263)      1132.8  Rx         0702  0  RTR
   264)      1133.1  Rx         0702  1  85 
   265)      1133.2  Rx         0742  0  RTR
   266)      1133.7  Rx         0283  8  82 00 00 00 00 00 00 00 
   267)      1134.0  Rx         0767  0  RTR
   268)      1135.8  Rx         0742  1  85 
   269)      1138.1  Rx         0767  1  05 
   270)      1162.8  Rx         0703  0  RTR
   271)      1163.0  Rx         0743  0  RTR
   272)      1163.2  Rx         0768  0  RTR
   273)      1163.4  Rx         0703  1  85 
   274)      1165.2  Rx         0743  1  85 
   275)      1168.4  Rx         0768  1  05 
